date,home_team_id,away_team_id,away_expected_points,away_xg,away_np_xg,away_ppda,away_deep_completions,home_points,home_expected_points,home_xg,home_np_xg,home_ppda,home_deep_completions,home_team_elo,away_team_elo,result,Xg_diff,elo_diff,Xpoint_diff,ppda_ratio,deep_comp_ratio,home_xg_avg_last3,away_xg_avg_last3,home_xg_trend
2022-10-01 12:00:00,261,154,1.6605,1.43089,1.43089,13.076923076923077,5,1,1.0551,1.06071,1.06071,8.7,0,1618.46533203,1856.2734375,2,-0.37017999999999995,-237.8081054700001,-0.6054000000000002,0.6652940667716302,0.0,0.7898666666666668,1.7680433333333336,0.27380233333333337
2022-10-01 12:00:00,261,154,1.6605,1.43089,1.43089,13.076923076923077,5,1,1.0551,1.06071,1.06071,8.7,0,1618.46533203,1856.2734375,2,-0.37017999999999995,-237.8081054700001,-0.6054000000000002,0.6652940667716302,0.0,1.06071,1.43089,0.2708433333333332
2022-10-01 14:15:00,142,231,0.5188999999999999,1.32186,0.578583,9.941176470588236,9,0,2.2769,2.50588,1.7626,9.071428571428571,5,1670.84570312,1629.22619629,0,1.1840199999999999,41.61950683000009,1.758,0.9125104745657258,0.5555554938271674,1.282969,0.8508483333333333,0.45514333333333346
2022-10-01 16:30:00,138,143,2.5772,2.12095,2.12095,28.25,14,0,0.281,0.362804,0.362804,7.25,6,1783.95227051,1857.66589355,0,-1.758146,-73.7136230399999,-2.2962,0.2566371590570917,0.42857139795918586,1.0477036666666668,2.1146433333333334,-0.3498619999999999
2022-10-01 19:00:00,239,148,1.0383,0.636371,0.636371,6.52,8,0,1.6089,0.925106,0.925106,39.90909090909091,6,1632.61376953,1902.34313965,0,0.28873499999999996,-269.7293701200001,0.5706,6.121025274243196,0.7499999062500118,0.929885333333333,2.6611036666666665,-0.18083466666666692
2022-10-01 19:00:00,239,148,1.0383,0.636371,0.636371,6.52,8,0,1.6089,0.925106,0.925106,39.90909090909091,6,1632.61376953,1902.34313965,0,0.28873499999999996,-269.7293701200001,0.5706,6.121025274243196,0.7499999062500118,0.939642333333333,1.3137673333333335,0.009757000000000016
2022-10-01 19:00:00,239,148,1.0383,0.636371,0.636371,6.52,8,0,1.6089,0.925106,0.925106,39.90909090909091,6,1632.61376953,1902.34313965,0,0.28873499999999996,-269.7293701200001,0.5706,6.121025274243196,0.7499999062500118,0.925106,0.636371,-0.01453633333333304
2022-10-02 12:00:00,141,146,1.8779000000000001,1.35604,1.35604,5.476190476190476,3,1,0.8432,0.738099,0.738099,12.5,3,1636.85632324,1708.05895996,2,-0.617941,-71.2026367200001,-1.0347000000000002,2.2826082788280533,0.9999996666667778,1.5807463333333331,1.4047159999999999,-0.29849700000000023
2022-10-02 12:00:00,141,146,1.8779000000000001,1.35604,1.35604,5.476190476190476,3,1,0.8432,0.738099,0.738099,12.5,3,1636.85632324,1708.05895996,2,-0.617941,-71.2026367200001,-1.0347000000000002,2.2826082788280533,0.9999996666667778,1.2822493333333334,1.6313433333333334,-0.2984969999999998
2022-10-02 14:15:00,152,153,1.5229000000000001,1.10607,1.10607,13.333333333333334,2,3,1.147,0.892987,0.892987,6.5,1,1698.18591309,1807.33544922,1,-0.21308300000000013,-109.14953613000012,-0.3759000000000001,0.48749996343750274,0.499999750000125,1.2408590000000004,1.2186519999999996,0.18187466666666663
